fmv:  [341206, 341206, 145000, 230000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 235000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 240000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 245000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 250000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 255000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 300000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 305000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 310000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 315000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 320000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 325000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 330000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 335000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 340000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 345000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 220000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 225000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 230000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 235000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 240000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 245000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 250000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 300000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 305000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 310000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 315000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 320000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 325000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 330000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 335000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 340000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 220000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 225000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 230000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 235000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 240000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 245000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 300000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 305000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 310000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 315000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 320000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 325000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 330000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 335000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 220000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 225000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 230000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 235000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 240000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 300000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 305000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 310000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 315000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 320000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 325000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 160000, 330000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 220000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 225000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 230000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 235000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 300000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 305000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 310000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 315000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 320000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 165000, 325000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 220000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 225000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 230000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 300000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 305000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 310000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 315000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 170000, 320000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 220000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 225000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 300000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 305000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 310000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 175000, 315000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 180000, 220000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 180000, 300000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 180000, 305000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 180000, 310000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 185000, 300000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 185000, 305000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 190000, 300000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 130000, 317588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 135000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 140000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 145000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 150000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 155000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 160000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 165000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 170000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 175000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 180000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 220000, 227588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 225000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 230000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 235000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 240000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 245000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 250000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 255000, 192588] total loss= 433274.50864077656
